코 드,적용일자,급여구분,상한가,사용장려비,투여경로,품명,규 격,단 위,제약회사명,분류번호,주성분코드,전문/일반,퇴장방지구분,약품동등구분,저가약대체여부,예외의약구분,임의조제불가,고시일자,대응코드,희귀의약품구분,
649102020,2025-12-16,급여,103,0,내복,휴모사정(모사프리드시트르산염수화물)_(5.29mg/1정),1,정,한국휴텍스제약(주),239,421001ATB,전문의약품,,생동(사후통보),대체조제가능,,,,,,
050100010,2026-01-01,급여,469,,내복,아셀렉스캡슐2밀리그램(폴마콕시브)_(2mg/1캡슐),1,캡슐,크리스탈지노믹스(주),114,636401ACH,전문의약품,,,,,,2025-12-24,,,
050100020,2026-01-01,급여,469,,내복,아셀렉스정2밀리그램(폴마콕시브)_(2mg/1정),1,정,크리스탈지노믹스(주),114,636401ATB,전문의약품,,,,,,2025-12-24,,,
050400011,2026-01-01,급여,1117646,,주사,옵디보주100mg(니볼루맙/유전자재조합)_(0.1g/10mL),10,mL/병,한국오노약품공업(주),421,638401BIJ,전문의약품,,,,,,2025-12-24,,,
050400021,2026-01-01,급여,279377,,주사,옵디보주20mg(니볼루맙/유전자재조합)_(20mg/2mL),2,mL/병,한국오노약품공업(주),421,638402BIJ,전문의약품,,,,,,2025-12-24,,,
050400031,2026-01-01,급여,2531829,,주사,옵디보주240mg(니볼루맙/유전자재조합)_(0.24g/24mL),24,mL/병,한국오노약품공업주식회사,421,638403BIJ,전문의약품,,,,,,2025-12-24,,,
051500011,2026-01-01,급여,125574,,주사,에톨로체50밀리그램프리필드시린지(에타너셉트)_(50mg/1관),1,관,삼성바이오에피스(주),439,455831BIJ,전문의약품,,,,,,2025-12-24,,,
051500021,2026-01-01,급여,283968,,주사,레마로체주100밀리그램(인플릭시맵)(단클론항체/유전자재조합)_(0.1g/1병),1,병,삼성바이오에피스(주),439,383501BIJ,전문의약품,,,,,,2025-12-24,,,
051500031,2026-01-01,급여,275792,,주사,삼페넷주150밀리그램(트라스투주맙)_(0.15g/1병),1,병,삼성바이오에피스(주),421,242802BIJ,전문의약품,,,,,,2025-12-24,,,
051500041,2026-01-01,급여,125574,,주사,에톨로체50밀리그램프리필드펜주(에타너셉트)_(50mg/1mL),1,mL/펜,삼성바이오에피스(주),439,455831BIJ,전문의약품,,,,,,2025-12-24,,,
051500071,2026-01-01,급여,811303,,주사,삼페넷주440밀리그램(트라스투주맙)_(0.44g/1병),1,병,삼성바이오에피스(주),421,242801BIJ,전문의약품,,,,,,2025-12-24,,,
051500081,2026-01-01,급여,202920,,주사,온베브지주(베바시주맙)_(0.1g/4mL),4,mL/병,삼성바이오에피스(주),421,554330BIJ,전문의약품,,,,,,2025-12-24,,,
051500082,2026-01-01,급여,662472,,주사,온베브지주(베바시주맙)_(0.4g/16mL),16,mL/병,삼성바이오에피스(주),421,554331BIJ,전문의약품,,,,,,2025-12-24,,,
051500101,2026-01-01,급여,241917,,주사,아달로체펜주40mg/0.4mL(아달리무맙/유전자재조합)_(40mg/0.4mL),0.4,mL/펜,삼성바이오에피스(주),439,488431BIJ,전문의약품,,,,,,2025-12-24,,,
051500111,2026-01-01,급여,241917,,주사,아달로체프리필드시린지주40mg/0.4mL(아달리무맙/유전자재조합)_(40mg/0.4mL),0.4,mL/관,삼성바이오에피스(주),439,488431BIJ,전문의약품,,,,,,2025-12-24,,,
051500201,2026-01-01,급여,129000,,주사,엑스브릭주(데노수맙)_(0.12g/1.7mL),1.7,mL/병,삼성바이오에피스(주),399,629002BIJ,전문의약품,,,,,,2025-12-24,,,
052300071,2026-01-01,급여,487286,,주사,키프롤리스주30밀리그램(카르필조밉)_(32mg/1병),1,병,암젠코리아유한회사,421,647802BIJ,전문의약품,,,,,,2025-12-24,,,
052300081,2026-01-01,급여,974115,,주사,키프롤리스주60밀리그램(카르필조밉)_(61.8mg/1병),1,병,암젠코리아유한회사,421,647801BIJ,전문의약품,,,,,,2025-12-24,,,
052300091,2026-01-01,급여,120914,,주사,레파타주프리필드펜(에볼로쿠맙)_(0.14g/1mL),1,mL/관,암젠코리아유한회사,218,659501BIJ,전문의약품,,,,,,2025-12-24,,,
052300111,2026-01-01,급여,123452,,주사,이베니티주프리필드시린지(로모소주맙/ 유전자재조합)_(105mg/1관),1.17,mL/관,암젠코리아(유),399,680701BIJ,전문의약품,,,,,,2025-12-24,,,
052400401,2026-01-01,급여,7522,,내복,레디프리산_(2000mL),2000,mL/통,(주)인트로바이오파마,721,616300APD,전문의약품,,,,,,2025-12-24,,,
052401230,2026-01-01,급여,470,,내복,도네에이블정5밀리그램(도네페질염산염수화물)_(5mg/1정),1,정,(주)인트로바이오파마,119,148602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
052401240,2026-01-01,급여,850,,내복,도네에이블정10밀리그램(도네페질염산염수화물)_(10mg/1정),1,정,(주)인트로바이오파마,119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
052401440,2026-01-01,삭제,,,내복,인렉스서방정(에페리손염산염)_(75mg/1정),1,정,(주)인트로바이오파마,122,152302ATR,전문의약품,,생동(사후통보),대체조제가능,,,2025-06-24,,,
052500011,2026-01-01,급여,482612,,주사,보테벨주3.5밀리그램(보르테조밉삼합체)_(3.3mg/1병),1,병,(주)에이스파마,421,463301BIJ,전문의약품,,,,,,2025-12-24,,,
052500021,2026-01-01,급여,109440,,주사,메그발주50밀리그램(멜팔란염산염)_(56mg/1병),1,병,(주)에이스파마,421,189902BIJ,전문의약품,,,,,,2025-12-24,,,
052500030,2026-01-01,급여,6533,0,내복,아탄트캡슐80밀리그램(아프레피탄트)_(80mg/1캡슐),1,캡슐,(주)에이스파마,235,483001ACH,전문의약품,,,,,,2025-12-24,,,
052500040,2026-01-01,급여,7962,0,내복,아탄트캡슐125밀리그램(아프레피탄트)_(0.125g/1캡슐),1,캡슐,(주)에이스파마,235,483002ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
052600011,2026-01-01,급여,24962,,주사,아이맥스이오헥솔300주_(32.35g/50mL),50,mL/병,엔코맥(주),721,176340BIJ,전문의약품,,,,,,2025-12-24,,,
052600012,2026-01-01,급여,49807,,주사,아이맥스이오헥솔300주_(64.7g/100mL),100,mL/병,엔코맥(주),721,176342BIJ,전문의약품,,,,,,2025-12-24,,,
052600013,2026-01-01,급여,55457,,주사,아이맥스이오헥솔300주_(80.875g/125mL),125,mL/병,엔코맥(주),721,176364BIJ,전문의약품,,,,,,2025-12-24,,,
052600014,2026-01-01,급여,74926,,주사,아이맥스이오헥솔300주_(97.05g/150mL),150,mL/병,엔코맥(주),721,176345BIJ,전문의약품,,,,,,2025-12-24,,,
052600016,2026-01-01,급여,232965,,주사,아이맥스이오헥솔300주_(323.5g/500mL),500,mL/병,엔코맥(주),721,176350BIJ,전문의약품,,,,,,2025-12-24,,,
052600021,2026-01-01,급여,27275,,주사,아이맥스이오헥솔350주_(37.75g/50mL),50,mL/병,엔코맥(주),721,176341BIJ,전문의약품,,,,,,2025-12-24,,,
052600022,2026-01-01,급여,54296,,주사,아이맥스이오헥솔350주_(75.5g/100mL),100,mL/병,엔코맥(주),721,176343BIJ,전문의약품,,,,,,2025-12-24,,,
052600023,2026-01-01,급여,57291,,주사,아이맥스이오헥솔350주_(94.375g/125mL),125,mL/병,엔코맥(주),721,176374BIJ,전문의약품,,,,,,2025-12-24,,,
052600024,2026-01-01,급여,81720,,주사,아이맥스이오헥솔350주_(113.25g/150mL),150,mL/병,엔코맥(주),721,176348BIJ,전문의약품,,,,,,2025-12-24,,,
052600026,2026-01-01,급여,269193,,주사,아이맥스이오헥솔350주_(377.5g/500mL),500,mL/병,엔코맥(주),721,176351BIJ,전문의약품,,,,,,2025-12-24,,,
052700960,2026-01-01,급여,92,,내복,에포리스정(에페리손염산염)_(50mg/1정),1,정,(주)휴온스생명과학,122,152301ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
052701541,2026-01-01,급여,7354,,주사,휴박탐주4.5그램(피페라실린나트륨·타조박탐나트륨)_(1병),1,병,(주)휴온스생명과학,618,329600BIJ,전문의약품,,,,,,2025-12-24,,,
053300090,2026-01-01,급여,126,,내복,락토셀캡슐(바실루스리케니포르미스균)_(0.25g/1캡슐),1,캡슐,(주)중헌제약,237,113201ACH,일반의약품,,,,,,2025-12-24,,,
053300261,2026-01-01,급여,8663,,주사,중헌세프타지딤주1그램(수출명:타로세프1그램)_(1g/1병),1,병,(주)중헌제약,618,128301BIJ,전문의약품,,,,,,2025-12-24,,,
053300281,2026-01-01,급여,3959,,주사,중헌세포탁심나트륨주1그램(수출명:세파탐주1그램/포스락주1그램)_(1g/1병),1,병,(주)중헌제약,618,127101BIJ,전문의약품,,,,,,2025-12-24,,,
053300291,2026-01-01,급여,5334,,주사,중헌세포탁심나트륨주2그램_(2g/1병),1,병,(주)중헌제약,618,127102BIJ,전문의약품,,,,,,2025-12-24,,,
053300330,2026-01-01,급여,464,,내복,탐스루신캡슐(탐스로신염산염)_(0.2mg/1캡슐),1,캡슐,(주)중헌제약,259,234601ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
053300430,2026-01-01,급여,988,,내복,넥사브이정40밀리그램(에스오메프라졸마그네슘삼수화물)_(44.50mg/1정),1,정,(주)중헌제약,232,367202ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
053300500,2026-01-01,급여,2087,,내복,도네케어정10밀리그램(도네페질염산염수화물)_(10.43mg/1정),1,정,(주)중헌제약,119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
053300580,2026-01-01,급여,699,,내복,넥사브이정20밀리그램(에스오메프라졸마그네슘삼수화물)_(22.25mg/1정),1,정,(주)중헌제약,232,367201ATB,전문의약품,,,,,,2025-12-24,,,
053300850,2026-01-01,급여,180,,내복,리셀정(비페닐디메틸디카르복실레이트)_(25mg/1정),1,정,(주)중헌제약,391,117701ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
053300910,2026-01-01,급여,1750,,내복,도네케어정5밀리그램(도네페질염산염수화물)_(5.22mg/1정),1,정,(주)중헌제약,119,148602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
053301050,2026-01-01,급여,1105,,내복,자바렐토정10밀리그램(리바록사반)_(10mg/1정),1,정,(주)중헌제약,333,511401ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
053301060,2026-01-01,급여,1105,,내복,자바렐토정15밀리그램(리바록사반)_(15mg/1정),1,정,(주)중헌제약,333,511402ATB,전문의약품,,,,,,2025-12-24,,,
053301070,2026-01-01,급여,1105,,내복,자바렐토정20밀리그램(리바록사반)_(20mg/1정),1,정,(주)중헌제약,333,511403ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054800290,2026-01-01,급여,572,,내복,텔미코르정80밀리그램(텔미사르탄)_(80mg/1정),1,정,엔비케이제약(주),214,378802ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054800610,2026-01-01,급여,419,,내복,탐스렌서방캡슐0.2밀리그램(탐스로신염산염)_(0.2mg/1캡슐),1,캡슐,엔비케이제약(주),259,234601ACR,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054800870,2026-01-01,급여,614,,내복,피나스텐정5밀리그램(피나스테리드)_(5mg/1정),1,정,엔비케이제약(주),259,159001ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054800950,2026-01-01,급여,151,,내복,가바론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),1,캡슐,엔비케이제약(주),113,164201ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054800960,2026-01-01,급여,311,,내복,가바론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),1,캡슐,엔비케이제약(주),113,164202ACH,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054801040,2026-01-01,삭제,,,내복,팜시트정250mg(팜시클로비르)_(0.25g/1정),1,정,엔비케이제약(주),629,157201ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-06-24,,,
054801210,2026-01-01,급여,1102,,내복,리바롤정20밀리그램(리바록사반)_(20mg/1정),1,정,엔비케이제약(주),333,511403ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
054801290,2026-01-01,급여,1102,,내복,리바롤정15밀리그램(리바록사반)_(15mg/1정),1,정,엔비케이제약(주),333,511402ATB,전문의약품,,,,,,2025-12-24,,,
054801300,2026-01-01,급여,1102,,내복,리바롤정10밀리그램(리바록사반)_(10mg/1정),1,정,엔비케이제약(주),333,511401ATB,전문의약품,,,,,,2025-12-24,,,
055500060,2026-01-01,급여,2499,,내복,베사노이드연질캡슐10밀리그램(트레티노인)_(10mg/1캡슐),1,캡슐,디케이에스에이치코리아(주),429,243001ACS,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
055500101,2026-01-01,급여,1129069,,주사,비쥬다인주사(베르테포르핀)_(15mg/1병),1,병,디케이에스에이치코리아(주),131,364501BIJ,전문의약품,,,,,,2025-12-24,,,
055500120,2026-01-01,급여,850,,내복,아타칸플러스정16/12.5mg_(1정),1,정,디케이에스에이치코리아(주),214,423700ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
055800150,2026-01-01,급여,599,,내복,도페정5밀리그램(도네페질염산염수화물)_(5.215mg/1정),1,정,(주)셀비온,119,148602ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
055800160,2026-01-01,급여,897,,내복,도페정10밀리그램(도네페질염산염수화물)_(10.43mg/1정),1,정,(주)셀비온,119,148601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
055800181,2026-01-01,급여,14966,,주사,셀비온그린주(인도시아닌그린)_(25mg/1병),1,병,(주)셀비온,728,466501BIJ,전문의약품,,,,,,2025-12-24,,,
055800230,2026-01-01,급여,162,,내복,아스트라셋정_(1정),1,정,(주)셀비온,114,513000ATB,전문의약품,,,,,,2025-12-24,,,
055800280,2026-01-01,급여,670,,내복,오메프란캡슐20밀리그램(오메프라졸)_(20mg/1캡슐),1,캡슐,(주)셀비온,232,204401ACE,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
055800300,2026-01-01,급여,584,,내복,엔티오메정20밀리그램(에스오메프라졸마그네슘이수화물)_(21.69mg/1정),1,정,(주)셀비온,232,367201ATB,전문의약품,,,,,,2025-12-24,,,
055900031,2026-01-01,급여,8770,,주사,팬포틴프리필드시린지주2000IU(에포에틴알파)_(2KI.U/0.5mL),0.5,mL/관,(주)팬젠,249,500333BIJ,전문의약품,,,,,부신피질호르몬제,2025-12-24,,,
055900041,2026-01-01,급여,14075,,주사,팬포틴프리필드시린지주4000IU(에포에틴알파)_(4KI.U/0.4mL),0.4,mL/관,(주)팬젠,249,500337BIJ,전문의약품,,,,,부신피질호르몬제,2025-12-24,,,
055900051,2026-01-01,급여,19149,,주사,팬포틴프리필드시린지주10000IU(에포에틴알파)_(10KI.U/1mL),1,mL/관,(주)팬젠,249,500343BIJ,전문의약품,,,,,부신피질호르몬제,2025-12-24,,,
056800031,2026-01-01,급여,41254,,외용,에클리라제뉴에어400마이크로그램(아클리디니움브롬화물(미분화))_(24mg/60회),60,회/통,주식회사에스피씨코리아,229,633730CSI,전문의약품,,,,,,2025-12-24,,,
056800041,2026-01-01,급여,41246,,외용,듀어클리어제뉴에어400/12마이크로그램_(60회),60,회/통,주식회사에스피씨코리아,229,635300CSI,전문의약품,,,,,,2025-12-24,,,
057000151,2026-01-01,급여,11034,,외용,모멘타로션(모메타손푸로에이트)_(60mg/60g),60,g/병,주식회사 더유제약,264,361342CLT,전문의약품,,,,,,2025-12-24,,,
057000221,2026-01-01,급여,2848,,외용,마일드원크림0.05%(데소나이드)_(15mg/30g),30,g/개,주식회사 더유제약,264,141531CCM,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
057001393,2026-01-01,급여,2158,,외용,닥터로반연고(무피로신)_(0.3g/15g),15,g/개,주식회사 더유제약,269,197632COM,일반의약품,,,,,,2025-12-24,,,
057001680,2026-01-01,삭제,,,내복,페블린정40밀리그램(페북소스타트)_(40mg/1정),1,정,주식회사 더유제약,394,567403ATB,전문의약품,,,,,,2025-06-24,,,
057200070,2026-01-01,급여,6099,,내복,카이트릴정1밀리그램(그라니세트론염산염)_(1.1mg/1정),1,정,지피테라퓨틱스코리아주식회사,235,167301ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
057200081,2026-01-01,급여,8842,,주사,카이트릴주(그라니세트론염산염)_(1.12mg/1mL),1,mL/앰플,지피테라퓨틱스코리아주식회사,235,167330BIJ,전문의약품,,,,,,2025-12-24,,,
057200091,2026-01-01,급여,15028,,주사,카이트릴주(그라니세트론염산염)_(3.36mg/3mL),3,mL/앰플,지피테라퓨틱스코리아주식회사,235,167331BIJ,전문의약품,,,,,,2025-12-24,,,
057200121,2026-01-01,급여,738,0,주사,타라신주(케토롤락트로메타민)_(30mg/1mL),1,mL/앰플,지피테라퓨틱스코리아주식회사,114,180033BIJ,전문의약품,,,,,,2025-12-24,,,
057200141,2026-01-01,급여,3579,,외용,라미실크림1%(테르비나핀염산염)_(0.15g/15g),15,g/개,지피테라퓨틱스코리아주식회사,265,235731CCM,일반의약품,,,,,,2025-12-24,,,
057600771,2026-01-01,급여,402,,내복,코다나에스시럽_(20mL),20,mL/포,대원바이오텍주식회사,222,690300ASY,전문의약품,,,,,한외마약,2025-12-24,,,
057700390,2026-01-01,급여,281,,내복,노바스정(암로디핀베실산염)_(6.944mg/1정),1,정,독립바이오제약(주),214,107601ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
057700451,2026-01-01,급여,6770,,주사,세프드리손주1g(세프트리악손나트륨수화물)_(1g/1병),1,병,독립바이오제약(주),618,128801BIJ,전문의약품,,,,,,2025-12-24,,,
058200240,2026-01-01,급여,382,,내복,로바가정20밀리그램(로수바스타틴칼슘)_(20.8mg/1정),1,정,(주)아리제약,218,454002ATB,전문의약품,,생동(사후통보),대체조제가능,,,2025-12-24,,,
