코 드,적용일자,품 명,규 격,단 위,상한금액,제조회사,재 질,수입업소,급여구분,구분변경
A0013001,20250401,CARBON SET (P.A. SET),,1EA,38520,CYCLOMEDICA,,새한산업,급여,
A1001001,20250401,RADIOACTIVE IODINE-125 SOURCE,전규격,1EA,80470, BEST MEDICAL INTERNATIONAL/INC , TITANIUM 등 ,에이치디엑스,급여,
A1003001,20250401,SPACEOAR SYSTEM,전규격,1EA,1710840,BOSTON SCIENTIFIC CORPORATION,PEG 등,보스톤사이언티픽코리아(주),급여,
B0001001,20250401,SUTURE ETHILON (NYLON),1/0,1EA,1290,ETHICON,MONOFILAMENT POLAMIDE,한국존슨앤드존슨메디칼,급여,
B0001002,20250401,NYLON,1/0,1EA,1290,WOORHI MEDICAL,MONOFILAMENT POLAMIDE,우리메디칼,급여,
B0001004,20250401,DAFILON,1/0,1EA,1290,B.BRAUN SURGICAL SA,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0001005,20250401,MONOSOF,1/0,1EA,1290,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0001006,20250401,NYLON,1/0,1EA,1290,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0001008,20250401,WEGO-NYLON,1/0,1EA,1290,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0001013,20250401,NYLON,1/0,1EA,1290,SEARCH MEDICAL CO./ LTD,NYLON,㈜서치메디컬,급여,
B0001018,20250401,REXLON,1/0,1EA,1290,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0001022,20250401,FILAMIDE,1/0,1EA,1290,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
B0001026,20250401,NYLON,1/0,1EA,1290,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0001090,20250401,FILAMIDE,1/0,1EA,1290,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0002001,20250401,SUTURE ETHILON (NYLON),2/0,1EA,1290,ETHICON,MONOFILAMENT POLAMIDE,한국존슨앤드존슨메디칼,급여,
B0002002,20250401,NYLON,2/0,1EA,1290,WOORHI MEDICAL,MONOFILAMENT POLAMIDE,우리메디칼,급여,
B0002003,20250401,SUTURE DERMALON,2/0,1EA,1290,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0002004,20250401,DAFILON,2/0,1EA,1290,B.BRAUN SURGICAL SA,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0002005,20250401,MONOSOF,2/0,1EA,1290,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0002006,20250401,NYLON,2/0,1EA,1290,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0002008,20250401,WEGO-NYLON,2/0,1EA,1290,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0002013,20250401,NYLON,2/0,1EA,1290,SEARCH MEDICAL CO./ LTD,NYLON,㈜서치메디컬,급여,
B0002018,20250401,REXLON,2/0,1EA,1290,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0002022,20250401,FILAMIDE,2/0,1EA,1290,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
B0002026,20250401,NYLON,2/0,1EA,1290,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0002090,20250401,FILAMIDE,2/0,1EA,1290,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0002104,20250401,SUPRAMID,2/0,1EA,1290,B.BRAUN SURGICAL SA,POLYAMIDE,비브라운코리아(주),급여,
B0003001,20250401,SUTURE ETHILON(NYLON),3/0,1EA,1480,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0003002,20250401,NYLON,3/0,1EA,1480,WOORHI MEDICAL,MONOFILAMENT POLAMIDE,우리메디칼,급여,
B0003003,20250401,SUTURE DERMALON,3/0,1EA,1480,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0003004,20250401,DAFILON,3/0,1EA,1480,B.BRAUN SURGICAL SA,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0003005,20250401,MONOSOF,3/0,1EA,1480,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0003006,20250401,NYLON,3/0,1EA,1460,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0003010,20250401,NYLON,3/0-4/0,1EA,1480,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0003013,20250401,NYLON,3/0,1EA,1480,SEARCH MEDICAL CO./ LTD,NYLON,㈜서치메디컬,급여,
B0003018,20250401,REXLON,3/0,1EA,1480,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0003022,20250401,FILAMIDE,3/0,1EA,1480,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
B0003026,20250401,NYLON,3/0,1EA,1480,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0003090,20250401,FILAMIDE,3/0,1EA,1480,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0003103,20250401,SURGILON,3/0,1EA,1480,COVIDIEN LLC,NYLON,메드트로닉코리아(유),급여,
B0003108,20250401,WEGO-NYLON,3/0,1EA,1480,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0004001,20250401,SUTURE ETHILON (NYLON),4/0,1EA,1480,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0004002,20250401,SUTURE NYLON,4/0,1EA,1480,WOORHI MEDICAL,MONOFILAMENT POLYAMIDE,우리메디칼,급여,
B0004003,20250401,SUTURE DERMALON,4/0,1EA,1460,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0004004,20250401,SUTURE DAFILON,4/0,1EA,1320,B.BRAUN SURGICAL SA,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0004005,20250401,MONOSOF,4/0,1EA,1480,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0004006,20250401,NYLON,4/0,1EA,1450,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0004008,20250401,WEGO-NYLON,4/0,1EA,1480,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0004010,20250401,NYLON,4/0,1EA,1480,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0004013,20250401,슈프라미드 봉합사 (SUPRAMID SUTURE),4/0,1EA,1480,SEARCH MEDICAL CO./ LTD,POLYAMIDE,㈜서치메디컬,급여,
B0004014,20250401,SUTURE SUPRAMID,4/0,1EA,1480,B.BRAUN SURGICAL SA,BRAIDED SILK,비브라운코리아,급여,
B0004018,20250401,REXLON,4/0,1EA,1480,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0004022,20250401,FILAMIDE,4/0,1EA,1480,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
B0004026,20250401,NYLON,4/0,1EA,1480,MONOMEDIC,POLYAMIDE,(주)모노메딕,급여,
B0004090,20250401,FILAMIDE,4/0,1EA,1480,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,메릴사우스코리아 유한회사,급여,
B0005001,20250401,SUTURE ETHILON (NYLON),5/0,1EA,1830,ETHICON,MONOFILAMENT POLYAMIDE,한국존슨앤드존슨메디칼,급여,
B0005002,20250401,SUTURE NYLON,5/0,1EA,1830,WOORHI MEDICAL,MONOFILAMENT POLYAMIDE,우리메디칼,급여,
B0005003,20250401,SUTURE DERMALON,5/0,1EA,1830,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0005004,20250401,SUTURE DAFILON,5/0,1EA,1730,B.BRAUN SURGICAL SA,MONOFILAMENT POLYAMIDE,비브라운코리아,급여,
B0005005,20250401,MONOSOF,5/0,1EA,1830,COVIDIEN LLC.,MONOFILAMENT NYLON,메드트로닉코리아,급여,
B0005006,20250401,NYLON,5/0,1EA,1800,AILEE,MONOFILAMENT NYLON,아이리,급여,
B0005008,20250401,WEGO-NYLON,5/0,1EA,1830,FOOSIN MEDICAL SUPPLIES INC./ LTD,POLYAMIDE,주식회사 웨이가오메디칼코리아,급여,
B0005010,20250401,NYLON,5/0,1EA,1830,SEARCH MEDICAL CO./ LTD,MONOFILAMENT POLYAMIDE,㈜서치메디컬,급여,
B0005018,20250401,REXLON,5/0,1EA,1830,SM ENG.,MONOFILAMENT NYLON (POLYAMIDE),에스엠이엔지,급여,
B0005022,20250401,FILAMIDE,5/0,1EA,1830,MERIL ENDO SURGERY PVT. LTD. ,POLYAMIDE,코아엠,급여,
